naslov,avtor,nova poglavja,nove besede,poglavja,besede,zadnja objava,prva objava,teden zadnje objave,quest,zaključen 
Unbreakable,Allergic_2_Bulletz,1,5200,21,79000,2017-12-23,unknown,2017-12-23,False,False
Unrefined Metal,arthurh3535,1,2600,11,40000,2017-12-23,unknown,2017-12-23,False,False
Unsung Heroes: Closing the Book,Zaralann,1,10000,2,20000,2017-12-23,unknown,2017-12-23,False,False
VAINGLORIOUS,Numen,22,100000,22,100000,2017-12-23,unknown,2017-12-23,False,False
Vs Brockton Bay,TheVeryWorst,1,2000,5,9400,2017-12-23,unknown,2017-12-23,False,False
We Are Legion,RagnarokAscendant,19,35000,19,35000,2017-12-23,unknown,2017-12-23,False,False
With Grace and Elegance,YoshYoshYosh,1,5300,10,40000,2017-12-23,unknown,2017-12-23,False,False
Wolf Spider,The Laurent,1,5300,33,210000,2017-12-23,unknown,2017-12-23,False,False
Y&apos;all Are Stupid,Jsyrin,1,1700,26,32000,2017-12-23,unknown,2017-12-23,False,False
You Needed Opponents With Gravitas,Noobsauce,1,5600,21,70000,2017-12-23,unknown,2017-12-23,False,False
Audacity; Damsel&apos;s Quest of Distress,frustratedFreeboota,56,71000,56,71000,2017-12-23,unknown,2017-12-23,True,False
The Cycle of Deicide,cyrileom,1,273,105,156000,2017-12-23,unknown,2017-12-23,True,False
The Drafting,teamfireyleader,20,38000,20,38000,2017-12-23,unknown,2017-12-23,True,False
Duality,Bailey Matutine,1,320,20,4800,2017-12-23,unknown,2017-12-23,True,False
The Electrifying Adventures of Doctor Menlo,sun tzu,1,1700,5,9500,2017-12-23,unknown,2017-12-23,True,False
Emma Barnes Syndrome,BMW,12,17000,12,17000,2017-12-23,unknown,2017-12-23,True,False
Ever Onwards,TigerTitian,2,5100,5,9300,2017-12-23,unknown,2017-12-23,True,False
"I&apos;m sorry, can you repeat that?",Zerrer,1,2700,23,62000,2017-12-23,unknown,2017-12-23,True,False
IZ BEST,frustratedFreeboota,1,805,10,6500,2017-12-23,unknown,2017-12-23,True,False
Mage Quest,Yuki no Yue,2,1200,67,57000,2017-12-23,unknown,2017-12-23,True,False
Magical Girl Escalation Taylor,Silently Watches,2,5800,115,227000,2017-12-23,unknown,2017-12-23,True,False
The Mockshow Show!,Rhydeble,1,1600,33,61000,2017-12-23,unknown,2017-12-23,True,False
Munchkin Quest,Fenrizwolf,2,6900,12,27000,2017-12-23,unknown,2017-12-23,True,False
Shining Example,IKnowNothing,25,88000,25,88000,2017-12-23,unknown,2017-12-23,True,False
Shrines in Brockton Bay,GilcuruLend,6,3100,8,4200,2017-12-23,unknown,2017-12-23,True,False
Spirits of Iron,Mkkt Bkkt,4,5100,11,13000,2017-12-23,unknown,2017-12-23,True,False
Summoner,Akallas von Aerok,31,34000,31,34000,2017-12-23,unknown,2017-12-23,True,False
Badass,aguy,5,8700,5,8700,2017-12-16,unknown,2017-12-16,False,False
The Champion of the Outer Reaches,Mglakoe,2,2200,2,2200,2017-12-16,unknown,2017-12-16,False,False
Five Nights in Brockton Bay,Emissary,7,4700,7,4700,2017-12-16,unknown,2017-12-16,False,False
Green Wings,Maximilian Bonaparte,3,10000,3,10000,2017-12-16,unknown,2017-12-16,False,False
Her Eyes,UsurperOfTruth,1,2100,1,2100,2017-12-16,unknown,2017-12-16,False,False
Hi! I&apos;m the new Security Guard...,SneakyDevil,1,638,1,638,2017-12-16,unknown,2017-12-16,False,False
Elysium,Iarna,1,3700,1,3700,2017-12-16,unknown,2017-12-16,False,False
Quest for the Grail,Lord Mendasuit,2,2700,2,2700,2017-12-16,unknown,2017-12-16,False,False
A New Hand,DrVahlenValen,3,4300,3,4300,2017-12-16,unknown,2017-12-16,False,False
Outsider Chronicles: Phantom Thief,Dis Lexic,4,11000,4,11000,2017-12-16,unknown,2017-12-16,False,False
Singer,Planetary Tennis,1,456,1,456,2017-12-16,unknown,2017-12-16,False,False
Spare Strings,MkZero,5,8600,5,8600,2017-12-16,unknown,2017-12-16,False,False
Special Edition,WriterOfFortune,5,11000,5,11000,2017-12-16,unknown,2017-12-16,False,False
"Taylor Hebert, Pizzeria Tycoon",Emissary,4,1800,4,1800,2017-12-16,unknown,2017-12-16,False,False
Transfer Student,Segev,12,56000,12,56000,2017-12-16,unknown,2017-12-16,False,False
CK2,Planetary Tennis,1,2700,1,2700,2017-12-16,unknown,2017-12-16,True,False
Ever Onwards,TigerTitian,3,4100,3,4100,2017-12-16,unknown,2017-12-16,True,False
"In his cafe in R&apos;lyeh, hipster Cthulhu sips Kombucha.",Mgunh1,2,1200,2,1200,2017-12-16,unknown,2017-12-16,True,False
Shrines in Brockton Bay,GilcuruLend,2,1000,2,1000,2017-12-16,unknown,2017-12-16,True,False
Spirits of Iron,Mkkt Bkkt,7,7900,7,7900,2017-12-16,unknown,2017-12-16,True,False
What Is Hard,Laryna6,1,1600,5,12000,2017-12-16,unknown,2017-12-16,False,True
The Demons Journey Home,Ceasare,1,610,1,610,2017-12-16,unknown,2017-12-16,False,True
What&apos;s she gonna do? Buzz at me?,Ceasare,1,486,1,486,2017-12-16,unknown,2017-12-16,False,True
...And the Joker is Wild,TheRealChuckNorris,1,894,1,894,2017-12-16,unknown,2017-12-16,False,True
Alternate Reality Mystery Person Exchanges Her Doomed Reality for Another,Faracre,1,1400,1,1400,2017-12-16,unknown,2017-12-16,False,True
KING,TheRealChuckNorris,1,723,1,723,2017-12-16,unknown,2017-12-16,False,True
Motivator!Taylor Will to Power,Faracre,5,9700,5,9700,2017-12-16,unknown,2017-12-16,False,True
Obligatory SI That No One Should Have Wanted,Faracre,1,1100,1,1100,2017-12-16,unknown,2017-12-16,False,True
Omnisicient!Taylor Dances to Forget,Faracre,1,949,1,949,2017-12-16,unknown,2017-12-16,False,True
Oxygen!Taylor Takes Your Breath Away,Faracre,1,1700,1,1700,2017-12-16,unknown,2017-12-16,False,True
Protagonist!Taylor - She&apos;s Got the Role of a Lifetime,Faracre,1,1200,1,1200,2017-12-16,unknown,2017-12-16,False,True
RUN,TheRealChuckNorris,1,1100,1,1100,2017-12-16,unknown,2017-12-16,False,True
The Dude!Eidolon - You what?,Faracre,1,221,1,221,2017-12-16,unknown,2017-12-16,False,True
Tricksy!Taylor - Is she serious?,Faracre,1,504,1,504,2017-12-16,unknown,2017-12-16,False,True
Vigilance!Tinker!Taylor - Hide and Seek,Faracre,1,2100,1,2100,2017-12-16,unknown,2017-12-16,False,True
Get to the Point,IAmARobot,1,2700,1,2700,2017-12-16,unknown,2017-12-16,False,True
Fluid Dynamics,Iarna,1,2500,1,2500,2017-12-16,unknown,2017-12-16,False,True
Power,Selector,1,18000,1,18000,2017-12-16,unknown,2017-12-16,False,True
Delinquency in Brockton Bay,REAPER35,1,1500,101,193000,2017-12-16,unknown,2017-12-16,False,False
"Learning to love yourself, parahuman edition",Victorian_Irish,1,1000,18,22000,2017-12-16,unknown,2017-12-16,False,False
Outsider,fallendruid,24,52000,24,52000,2017-12-16,unknown,2017-12-16,False,False
Coming up with Good Titles is a Pain,Rukaio Alter,1,4700,2,10000,2017-12-16,unknown,2017-12-16,False,False
SERA,TheRealChuckNorris,1,824,4,3800,2017-12-16,unknown,2017-12-16,False,False
Stranger than Brockton,Victorian_Irish,1,7000,49,196000,2017-12-16,unknown,2017-12-16,False,False
Abaddon Born(e),PublicLee Speaking,2,13000,25,113000,2017-12-16,unknown,2017-12-16,False,False
Agency,KindaApatheticButNice,2,4400,12,28000,2017-12-16,unknown,2017-12-16,False,False
All-Father,Rhaegar,1,1000,6,14000,2017-12-16,unknown,2017-12-16,False,False
Another Path,Selector,1,11000,5,57000,2017-12-16,unknown,2017-12-16,False,False
Another Way,Ack,1,10000,18,115000,2017-12-16,unknown,2017-12-16,False,False
Bats or Bugs,jevran,1,1800,11,15000,2017-12-16,unknown,2017-12-16,False,False
Because Of The War,Shadows of Vanity,1,6900,9,55000,2017-12-16,unknown,2017-12-16,False,False
The Bird Of Hermes,Grey Dragon,1,3000,83,199000,2017-12-16,unknown,2017-12-16,False,False
Blundering Branches,Seij,1,939,6,12000,2017-12-16,unknown,2017-12-16,False,False
BURN!,WhoAmEye,1,3300,12,26000,2017-12-16,unknown,2017-12-16,False,False
Câest La Vie,PseudoSim,1,7900,13,41000,2017-12-16,unknown,2017-12-16,False,False
Choices,ghostofthefallen,1,3300,26,75000,2017-12-16,unknown,2017-12-16,False,False
Collagen,T0PH4T,1,2200,11,27000,2017-12-16,unknown,2017-12-16,False,False
Containment Report,AeroVox,2,4200,20,37000,2017-12-16,unknown,2017-12-16,False,False
Deputy Director,Reyemile,1,6500,10,44000,2017-12-16,unknown,2017-12-16,False,False
Divided,Para_Docks,1,1700,95,188000,2017-12-16,unknown,2017-12-16,False,False
Don&apos;t Say Vampire,DeltaNovember,1,3500,27,110000,2017-12-16,unknown,2017-12-16,False,False
A Dovahkiin without Dragon Souls to spend.,freebiewitz,47,138000,47,138000,2017-12-16,unknown,2017-12-16,False,False
Emissary,Noelemahc,30,158000,30,158000,2017-12-16,unknown,2017-12-16,False,False
An Essence of Silver and Steel,James D. Fawkes,1,5200,29,139000,2017-12-16,unknown,2017-12-16,False,False
Evil and Ham,QAI521,1,5200,2,10000,2017-12-16,unknown,2017-12-16,False,False
Fault,Everents,1,7100,24,125000,2017-12-16,unknown,2017-12-16,False,False
Fear,Ryuugi,18,61000,18,61000,2017-12-16,unknown,2017-12-16,False,False
A Grave Change of Events,Zira,1,2800,3,7300,2017-12-16,unknown,2017-12-16,False,False
Green,QAI521,1,3900,3,11000,2017-12-16,unknown,2017-12-16,False,False
Hebert Family Values,ellfangor8,1,4200,3,8200,2017-12-16,unknown,2017-12-16,False,False
Howl the Wolves,S0ngD0g13,1,1000,47,57000,2017-12-16,unknown,2017-12-16,False,False
Mask,LightDarn,1,1800,6,16000,2017-12-16,unknown,2017-12-16,False,False
Mauling Snarks,CmptrWz,2,10000,51,225000,2017-12-16,unknown,2017-12-16,False,False
Mobs Of Brockton Bay,TitanBreaker,1,1000,3,2900,2017-12-16,unknown,2017-12-16,False,False
The name of the worm,Pef,8,7000,79,62000,2017-12-16,unknown,2017-12-16,False,False
"New Litter, Lucky Seven",ScottotheUnwise,4,11000,30,135000,2017-12-16,unknown,2017-12-16,False,False
Nidhog,Mglakoe,1,1500,4,5800,2017-12-16,unknown,2017-12-16,False,False
The Nightmare Queen,QAI521,1,5100,34,181000,2017-12-16,unknown,2017-12-16,False,False
Not Nice,DMfromTheAbyss,1,5500,5,20000,2017-12-16,unknown,2017-12-16,False,False
Of Wasps and Wizards,Rhydeble,1,2800,29,131000,2017-12-16,unknown,2017-12-16,False,False
One Hell of an Afternoon,lordmcdeath,1,1000,48,56000,2017-12-16,unknown,2017-12-16,False,False
Operation Heartbreak,LewisMistreated,1,795,18,17000,2017-12-16,unknown,2017-12-16,False,False
The Opposite of Carnage,Rater202,2,8700,17,32000,2017-12-16,unknown,2017-12-16,False,False
Outsider Chronicles: Needless Hero,Dis Lexic,1,2600,15,38000,2017-12-16,unknown,2017-12-16,False,False
Overwatch,QuickDeath007,4,6000,4,6000,2017-12-16,unknown,2017-12-16,False,False
Pinky and the Brain,ssfr,1,427,30,36000,2017-12-16,unknown,2017-12-16,False,False
A Prison of Glass,McSwazey,2,3800,32,59000,2017-12-16,unknown,2017-12-16,False,False
PRT ENE: Mad World,Numen,1,1900,3,7200,2017-12-16,unknown,2017-12-16,False,False
Queen Coordinator,ManMagnificent,2,5200,13,26000,2017-12-16,unknown,2017-12-16,False,False
Queen of Blood,SirWill,1,3500,104,361000,2017-12-16,unknown,2017-12-16,False,False
Reconcile,Veozar,1,2000,20,43000,2017-12-16,unknown,2017-12-16,False,False
Ring-Maker,LithosMaitreya,69,172000,69,172000,2017-12-16,unknown,2017-12-16,False,False
Rise of Titan,ZFighter18,4,8400,67,243000,2017-12-16,unknown,2017-12-16,False,False
Scenes From a Glass Mind,Glasshand,5,4400,6,5400,2017-12-16,unknown,2017-12-16,False,False
Self Insertion,Istaran,3,2900,80,88000,2017-12-16,unknown,2017-12-16,False,False
Seraph,RedFalcon,4,15000,4,15000,2017-12-16,unknown,2017-12-16,False,False
Setanta,ErrantVagrant,1,3700,138,685000,2017-12-16,unknown,2017-12-16,False,False
Shangri-La,TheFat1,1,2400,33,72000,2017-12-16,unknown,2017-12-16,False,False
The Simurgh&apos;s Son,Darth Marrs,1,3900,9,35000,2017-12-16,unknown,2017-12-16,False,False
Skitter goes to shambles,TimeL0rd,1,1200,2,1800,2017-12-16,unknown,2017-12-16,False,False
Skitter Studies,The Laurent,1,7200,53,268000,2017-12-16,unknown,2017-12-16,False,False
Skittering Thief,ShayneT,5,15000,27,82000,2017-12-16,unknown,2017-12-16,False,False
Star gazing,Selector,1,10000,4,46000,2017-12-16,unknown,2017-12-16,False,False
Stone Spiders,Emissary,1,1000,34,23000,2017-12-16,unknown,2017-12-16,False,False
Superworm: Secret Identity,muqi,9,11000,9,11000,2017-12-16,unknown,2017-12-16,False,False
T Time,Fredo,4,4600,5,5700,2017-12-16,unknown,2017-12-16,False,False
Tarantism,TheFat1,9,19000,9,19000,2017-12-16,unknown,2017-12-16,False,False
Taylor Smash!,Harper Potts,7,16000,7,16000,2017-12-16,unknown,2017-12-16,False,False
Taylor Varga,mp3.1415player,1,4000,223,1300000,2017-12-16,unknown,2017-12-16,False,False
Taylor&apos;s Gotta Power,arromdee,1,3200,30,101000,2017-12-16,unknown,2017-12-16,False,False
That Others May Tinker,6thfloormadness,1,2600,18,51000,2017-12-16,unknown,2017-12-16,False,False
Unrefined Metal,arthurh3535,1,2800,10,37000,2017-12-16,unknown,2017-12-16,False,False
VAINGLORIOUS,Numen,20,93000,20,93000,2017-12-16,unknown,2017-12-16,False,False
War Angel,LuxSola,2,4600,7,33000,2017-12-16,unknown,2017-12-16,False,False
We Are Legion,RagnarokAscendant,15,29000,15,29000,2017-12-16,unknown,2017-12-16,False,False
The Weaver Option,Antony444,1,8800,12,92000,2017-12-16,unknown,2017-12-16,False,False
Weaverâs Adventures in Philly,asododsteel,1,3100,23,56000,2017-12-16,unknown,2017-12-16,False,False
"A Wild, Wormy West",Rhydeble,1,968,9,20000,2017-12-16,unknown,2017-12-16,False,False
With Grace and Elegance,YoshYoshYosh,1,377,10,40000,2017-12-16,unknown,2017-12-16,False,False
Wolf Spider,The Laurent,1,7500,32,197000,2017-12-16,unknown,2017-12-16,False,False
Y&apos;all Are Stupid,Jsyrin,25,31000,25,31000,2017-12-16,unknown,2017-12-16,False,False
All Things Devoured,UnwelcomeStorm,1,2300,15,28000,2017-12-16,unknown,2017-12-16,True,False
Case 53,Mkkt Bkkt,1,499,31,34000,2017-12-16,unknown,2017-12-16,True,False
The Cycle of Deicide,cyrileom,2,4100,104,155000,2017-12-16,unknown,2017-12-16,True,False
Emma Barnes Syndrome,BMW,11,15000,11,15000,2017-12-16,unknown,2017-12-16,True,False
KOOL: A Rooster Cocoa-Brawn Quest,maroon_sweater,1,1000,14,12000,2017-12-16,unknown,2017-12-16,True,False
Mage Quest,Yuki no Yue,1,363,65,56000,2017-12-16,unknown,2017-12-16,True,False
The Mockshow Show!,Rhydeble,1,2200,32,59000,2017-12-16,unknown,2017-12-16,True,False
Munchkin Quest,Fenrizwolf,10,20000,10,20000,2017-12-16,unknown,2017-12-16,True,False
Someone got a shard into their brain,Milpy,2,6200,4,8400,2017-12-16,unknown,2017-12-16,True,False
Summoner,Akallas von Aerok,27,28000,27,28000,2017-12-16,unknown,2017-12-16,True,False
A Higher Orbit - The Coup,Hopeful Penguin,1,4300,1,4300,2017-12-09,unknown,2017-12-09,False,False
Master Gi and the Power of Illusion,gavinjon,2,1400,2,1400,2017-12-09,unknown,2017-12-09,False,False
Mobs Of Brockton Bay,TitanBreaker,2,1900,2,1900,2017-12-09,unknown,2017-12-09,False,False
Nidhog,Mglakoe,3,4300,3,4300,2017-12-09,unknown,2017-12-09,False,False
Not enough documentation,Woodlark17,3,6000,3,6000,2017-12-09,unknown,2017-12-09,False,False
Prisma Taylor Side-Stories,Rater202,4,6200,4,6200,2017-12-09,unknown,2017-12-09,False,False
PRT ENE: Mad World,Numen,2,5200,2,5200,2017-12-09,unknown,2017-12-09,False,False
Queen Coordinator,ManMagnificent,10,18000,10,18000,2017-12-09,unknown,2017-12-09,False,False
Scenes From a Glass Mind,Glasshand,1,1000,1,1000,2017-12-09,unknown,2017-12-09,False,False
Simon Says,KAMEN RIDER CHROME,1,672,1,672,2017-12-09,unknown,2017-12-09,False,False
Skitter goes to shambles,TimeL0rd,1,645,1,645,2017-12-09,unknown,2017-12-09,False,False
T Time,Fredo,2,2000,2,2000,2017-12-09,unknown,2017-12-09,False,False
Taylor gets a Bodyguard,Mglakoe,1,1800,1,1800,2017-12-09,unknown,2017-12-09,False,False
We Are Legion,RagnarokAscendant,10,20000,10,20000,2017-12-09,unknown,2017-12-09,False,False
Work Placement,Hopeful Penguin,7,9400,7,9400,2017-12-09,unknown,2017-12-09,False,False
"Changing, and being Changed: Player Insert",Walkers,2,1000,2,1000,2017-12-09,unknown,2017-12-09,True,False
Munchkin Quest,Fenrizwolf,6,7200,6,7200,2017-12-09,unknown,2017-12-09,True,False
A Primarch on Earth Bet,Death Doggz,2,920,2,920,2017-12-09,unknown,2017-12-09,True,False
Someone got a shard into their brain,Milpy,2,2100,2,2100,2017-12-09,unknown,2017-12-09,True,False
Path to Munchies,Merle Corey,17,49000,17,49000,2017-12-09,unknown,2017-12-09,False,True
"Daughter, Dragon",6thfloormadness,1,3300,1,3300,2017-12-09,unknown,2017-12-09,False,True
Mutually Assured Destruction (Or Friendship),6thfloormadness,1,3000,1,3000,2017-12-09,unknown,2017-12-09,False,True
F.B.I: Special Parahuman Investigation Unit or SPUI: Brockton,Ceasare,1,1600,1,1600,2017-12-09,unknown,2017-12-09,False,True
Welcome Home,Ceasare,1,716,1,716,2017-12-09,unknown,2017-12-09,False,True
TattleZiz (a story sketch),Dyranum,1,748,1,748,2017-12-09,unknown,2017-12-09,False,True
The Stack of Paper is Heavier than the Sword,Dyranum,1,1200,1,1200,2017-12-09,unknown,2017-12-09,False,True
Three Short Drabbles Written on Prompts,Dyranum,1,940,1,940,2017-12-09,unknown,2017-12-09,False,True
Wings of Iron,Dyranum,1,7500,1,7500,2017-12-09,unknown,2017-12-09,False,True
Hoarding Secrets,Harbin,1,2000,1,2000,2017-12-09,unknown,2017-12-09,False,True
"Hyliian&apos;s Snips: One Shot, One Kill",Hyliian,1,579,1,579,2017-12-09,unknown,2017-12-09,False,True
Wish Fulfillment,IAmARobot,2,4000,2,4000,2017-12-09,unknown,2017-12-09,False,True
BURN!,WhoAmEye,1,2900,11,22000,2017-12-09,unknown,2017-12-09,False,False
The Great Toad Sage of Brockton Bay,Radical Sway,1,3500,37,177000,2017-12-09,unknown,2017-12-09,False,False
Phoning it in,dogbertcarroll,1,1900,20,43000,2017-12-09,unknown,2017-12-09,False,False
Seraph,RedFalcon,1,3600,3,11000,2017-12-09,unknown,2017-12-09,False,False
Superworm: Secret Identity,muqi,1,1400,8,9600,2017-12-09,unknown,2017-12-09,False,False
There&apos;s No Way My New Little Sister Can Be The Simurgh!,ensou,5,15000,5,15000,2017-12-09,unknown,2017-12-09,False,False
Duality,Bailey Matutine,1,217,19,4500,2017-12-09,unknown,2017-12-09,True,False
Abaddon Born(e),PublicLee Speaking,2,7900,22,96000,2017-12-09,unknown,2017-12-09,False,False
Abaddon Born(e),Publiclee Speaking,1,3900,23,91000,2017-12-09,unknown,2017-12-09,False,False
Agency,KindaApatheticButNice,2,3800,10,24000,2017-12-09,unknown,2017-12-09,False,False
Another Path,Selector,1,10000,4,46000,2017-12-09,unknown,2017-12-09,False,False
Bats or Bugs,jevran,2,3300,10,14000,2017-12-09,unknown,2017-12-09,False,False
Blundering Branches,Seij,1,2900,5,11000,2017-12-09,unknown,2017-12-09,False,False
Boiler-Plate,Theleyak,1,2300,3,6500,2017-12-09,unknown,2017-12-09,False,False
BROBed-Arc One: Shadows,Rajvik_wolfboy,1,2900,36,42000,2017-12-09,unknown,2017-12-09,False,False
Câest La Vie,PseudoSim,12,33000,12,33000,2017-12-09,unknown,2017-12-09,False,False
Choices,ghostofthefallen,1,2900,25,72000,2017-12-09,unknown,2017-12-09,False,False
Collagen,T0PH4T,1,2700,10,25000,2017-12-09,unknown,2017-12-09,False,False
Containment Report,AeroVox,2,4100,18,32000,2017-12-09,unknown,2017-12-09,False,False
Death&apos;s Head: The New Empire,gideon020,6,16000,6,16000,2017-12-09,unknown,2017-12-09,False,False
Deputy Director,Reyemile,1,3800,9,37000,2017-12-09,unknown,2017-12-09,False,False
Divided,Para_Docks,1,1500,94,186000,2017-12-09,unknown,2017-12-09,False,False
Don&apos;t Say Vampire,DeltaNovember,1,4300,26,106000,2017-12-09,unknown,2017-12-09,False,False
A Dovahkiin without Dragon Souls to spend.,freebiewitz,44,126000,44,126000,2017-12-09,unknown,2017-12-09,False,False
Emissary,Noelemahc,30,158000,30,158000,2017-12-09,unknown,2017-12-09,False,False
Empress Ascendant,Unruly Marmite,1,8700,6,41000,2017-12-09,unknown,2017-12-09,False,False
An Essence of Silver and Steel,James D. Fawkes,28,134000,28,134000,2017-12-09,unknown,2017-12-09,False,False
Fault,Everents,1,3500,23,118000,2017-12-09,unknown,2017-12-09,False,False
Fighting Grimderp with Plasma and Anger Issues,RagnarokAscendant,1,1400,9,12000,2017-12-09,unknown,2017-12-09,False,False
Girls With Powers!,Noelemahc,10,22000,10,22000,2017-12-09,unknown,2017-12-09,False,False
Golden Midnight Project,Arthur Hansen,1,1600,5,12000,2017-12-09,unknown,2017-12-09,False,False
A Grave Change of Events,Zira,1,2100,2,4400,2017-12-09,unknown,2017-12-09,False,False
The Green Ghost,xavier d luna,1,2800,11,36000,2017-12-09,unknown,2017-12-09,False,False
Grim Tidings,Pharus,1,2100,7,19000,2017-12-09,unknown,2017-12-09,False,False
Hebert Family Values,ellfangor8,3,8200,3,8200,2017-12-09,unknown,2017-12-09,False,False
How to Drill Your Way Through Your Problems,Web-Weaver,21,93000,21,93000,2017-12-09,unknown,2017-12-09,False,False
Howl the Wolves,S0ngD0g13,6,8200,46,56000,2017-12-09,unknown,2017-12-09,False,False
Intrepid,Cerulean,1,3200,182,647000,2017-12-09,unknown,2017-12-09,False,False
The Lady of the Flies,InsanityIncarnate90,1,3100,11,26000,2017-12-09,unknown,2017-12-09,False,False
A Little Help,wizerd00,1,2700,10,29000,2017-12-09,unknown,2017-12-09,False,False
The Little Ship that Could,JGregory32,58,92000,58,92000,2017-12-09,unknown,2017-12-09,False,False
Madgirl in a Wormverse,Richpad,1,8100,7,38000,2017-12-09,unknown,2017-12-09,False,False
Magical Girl Lyrical Taylor,Marsyas,3,1800,87,297000,2017-12-09,unknown,2017-12-09,False,False
Mask,LightDarn,1,2900,5,14000,2017-12-09,unknown,2017-12-09,False,False
Mauling Snarks,CmptrWz,3,13000,49,215000,2017-12-09,unknown,2017-12-09,False,False
Mending the Spirit,arthurh3535,1,3400,4,12000,2017-12-09,unknown,2017-12-09,False,False
The name of the worm,Pef,12,11000,71,54000,2017-12-09,unknown,2017-12-09,False,False
"New Litter, Lucky Seven",ScottotheUnwise,2,7300,26,124000,2017-12-09,unknown,2017-12-09,False,False
A New Way to Play,Soundlesssteps,1,11000,8,53000,2017-12-09,unknown,2017-12-09,False,False
One Hell of an Afternoon,lordmcdeath,1,1300,47,55000,2017-12-09,unknown,2017-12-09,False,False
"OP, Yes Please!",NuntiusTheCourier,1,5400,4,24000,2017-12-09,unknown,2017-12-09,False,False
Operation Heartbreak,LewisMistreated,1,1200,16,16000,2017-12-09,unknown,2017-12-09,False,False
The Opposite of Carnage,Rater202,3,5200,15,23000,2017-12-09,unknown,2017-12-09,False,False
Out Of Depth,Momo,1,1300,2,4100,2017-12-09,unknown,2017-12-09,False,False
Outsider Chronicles: Needless Hero,Dis Lexic,1,2400,14,35000,2017-12-09,unknown,2017-12-09,False,False
Overpowered Much?,Akallas von Aerok,2,3900,12,38000,2017-12-09,unknown,2017-12-09,False,False
Overwatch,QuickDeath007,4,6000,4,6000,2017-12-09,unknown,2017-12-09,False,False
The Paragamer,0100010,1,14000,23,139000,2017-12-09,unknown,2017-12-09,False,False
Pinky and the Brain,ssfr,1,1500,23,27000,2017-12-09,unknown,2017-12-09,False,False
Playing Hooky,Somewhat Disinterested,1,2800,18,48000,2017-12-09,unknown,2017-12-09,False,False
Reality Intrudes,Ack,1,3400,7,21000,2017-12-09,unknown,2017-12-09,False,False
Reconcile,Veozar,1,1600,19,41000,2017-12-09,unknown,2017-12-09,False,False
Ring-Maker,LithosMaitreya,68,170000,68,170000,2017-12-09,unknown,2017-12-09,False,False
Satsui No Worm: Killing Intent,Angelic visage,1,2000,3,6500,2017-12-09,unknown,2017-12-09,False,False
Reality Intrudes,Selector,1,1200,2,2700,2017-12-09,unknown,2017-12-09,False,False
Self Insertion,Istaran,3,2700,77,86000,2017-12-09,unknown,2017-12-09,False,False
Setanta,ErrantVagrant,1,4100,137,681000,2017-12-09,unknown,2017-12-09,False,False
Shangri-La,TheFat1,32,70000,32,70000,2017-12-09,unknown,2017-12-09,False,False
The Simurgh&apos;s Son,Darth Marrs,1,3600,8,31000,2017-12-09,unknown,2017-12-09,False,False
Skitter Studies,The Laurent,1,4200,52,261000,2017-12-09,unknown,2017-12-09,False,False
Skittering Thief,ShayneT,7,21000,21,64000,2017-12-09,unknown,2017-12-09,False,False
"Stacked Deck (Or, Colin Wallis vs. Single Parenting)",UnwelcomeStorm,1,2900,26,65000,2017-12-09,unknown,2017-12-09,False,False
Star gazing,Selector,1,11000,3,35000,2017-12-09,unknown,2017-12-09,False,False
Stone Spiders,Emissary,1,554,33,21000,2017-12-09,unknown,2017-12-09,False,False
A Subtle Knife,industrious,1,1900,162,277000,2017-12-09,unknown,2017-12-09,False,False
Supreme Queen of Escalation,TheBlackLight,1,3300,2,5200,2017-12-09,unknown,2017-12-09,False,False
Tarantism,TheFat1,1,2200,8,17000,2017-12-09,unknown,2017-12-09,False,False
Taylor Smash!,Harper Potts,1,1800,5,9800,2017-12-09,unknown,2017-12-09,False,False
Taylor Varga,mp3.1415player,222,1300000,222,1300000,2017-12-09,unknown,2017-12-09,False,False
Time After Time,Thesaurus,1,1100,2,2400,2017-12-09,unknown,2017-12-09,False,False
To Fill The Void,that1guy,1,1500,9,12000,2017-12-09,unknown,2017-12-09,False,False
Transfer Student: Wish Fulfilment,Segev,2,11000,13,58000,2017-12-09,unknown,2017-12-09,False,False
The Transhumanist Pocketcalendar,Count Rushcore,1,4100,8,20000,2017-12-09,unknown,2017-12-09,False,False
Traveler&apos;s Guide to the Multiverse,ManMagnificent,1,13000,20,149000,2017-12-09,unknown,2017-12-09,False,False
Unrefined Metal,arthurh3535,1,2100,9,34000,2017-12-09,unknown,2017-12-09,False,False
VAINGLORIOUS,Numen,19,86000,19,86000,2017-12-09,unknown,2017-12-09,False,False
When your Mother is the Simurgh...,CrunchySharpie,17,52000,17,52000,2017-12-09,unknown,2017-12-09,False,False
"A Wild, Wormy West",Rhydeble,2,3500,8,19000,2017-12-09,unknown,2017-12-09,False,False
With Grace and Elegance,YoshYoshYosh,1,4300,7,30000,2017-12-09,unknown,2017-12-09,False,False
Wolf Spider,The Laurent,31,197000,31,197000,2017-12-09,unknown,2017-12-09,False,False
Worm: More Than Meets The Eye,Metallix666,1,5200,99,446000,2017-12-09,unknown,2017-12-09,False,False
Y&apos;all Are Stupid,Jsyrin,2,2900,23,28000,2017-12-09,unknown,2017-12-09,False,False
Alchemical Solutions,Gromweld,1,2000,184,992000,2017-12-09,unknown,2017-12-09,True,False
